name tsdp_7_s200_k14
K 14
stations
# id x y nbp capa ideal
1 80 61 12 13 13
2 26 25 5 12 6
3 32 4 5 5 4
4 5 37 12 13 5
5 41 67 6 9 8
6 17 0 3 14 11
7 27 90 1 11 2
8 1 71 1 13 10
9 45 30 6 8 1
10 57 75 3 6 5
11 13 56 5 14 5
12 13 67 4 14 14
13 92 60 5 14 14
14 4 50 3 5 5
15 52 1 0 9 1
16 3 97 3 10 8
17 17 83 5 12 0
18 35 32 7 12 1
19 10 52 1 10 4
20 67 56 1 11 9
21 48 72 0 9 3
22 86 86 7 13 12
23 50 59 2 14 12
24 55 33 3 5 4
25 75 95 3 13 11
26 26 49 11 11 8
27 98 28 4 6 2
28 0 90 1 5 3
29 43 43 4 8 3
30 19 91 4 11 10
31 78 29 5 7 2
32 78 36 8 12 7
33 22 73 7 8 8
34 92 21 1 7 5
35 2 67 2 8 4
36 55 36 7 10 7
37 9 19 8 9 3
38 99 89 3 7 4
39 37 50 2 11 7
40 0 58 8 10 0
41 84 4 9 14 1
42 32 30 7 8 7
43 31 95 4 14 12
44 54 86 1 7 2
45 1 93 1 12 9
46 90 49 6 7 0
47 10 77 6 8 7
48 80 93 3 8 6
49 59 16 11 11 1
50 6 95 5 11 0
51 72 71 4 7 3
52 18 34 0 12 4
53 90 34 6 7 7
54 57 83 13 14 0
55 76 47 11 13 3
56 83 15 9 12 10
57 41 29 3 5 0
58 67 72 4 5 4
59 7 76 0 6 0
60 53 1 3 9 9
61 39 11 7 9 7
62 65 76 3 5 1
63 29 68 4 5 3
64 11 42 8 8 2
65 50 66 2 14 0
66 64 87 1 13 0
67 81 64 2 5 0
68 42 76 10 14 10
69 38 95 12 12 10
70 15 0 2 11 4
71 56 88 0 8 4
72 26 54 4 5 2
73 71 56 10 11 8
74 51 40 3 6 2
75 61 96 4 10 2
76 29 79 7 12 11
77 94 64 0 5 5
78 95 94 5 6 1
79 56 15 13 13 8
80 35 67 6 13 12
81 53 83 2 14 11
82 40 17 9 13 11
83 29 54 6 13 5
84 95 31 3 6 0
85 62 26 8 12 10
86 12 97 2 5 1
87 3 86 5 11 11
88 40 85 5 8 8
89 39 94 3 5 0
90 10 85 4 7 6
91 42 22 5 9 0
92 62 19 9 12 10
93 96 74 5 5 2
94 21 13 8 8 7
95 62 89 10 10 6
96 79 11 8 8 4
97 45 81 5 8 8
98 2 3 7 11 6
99 59 87 6 6 3
100 27 84 6 7 3
101 74 82 8 8 6
102 48 29 0 11 11
103 93 91 1 10 8
104 42 18 3 9 0
105 46 45 6 7 1
106 49 95 4 6 2
107 16 60 2 11 10
108 92 98 5 11 6
109 97 37 1 6 5
110 85 95 2 10 1
111 68 62 4 5 4
112 30 18 4 10 5
113 23 63 0 7 5
114 91 55 13 13 8
115 34 69 5 11 6
116 6 17 1 7 7
117 93 67 1 11 11
118 99 23 4 6 1
119 10 97 8 8 0
120 83 29 4 10 8
121 19 15 5 6 6
122 39 21 6 9 2
123 7 13 5 7 4
124 10 7 5 5 2
125 77 46 1 5 5
126 26 86 4 6 1
127 30 73 10 12 2
128 40 59 3 14 12
129 43 42 1 11 4
130 47 11 5 10 10
131 99 94 5 10 7
132 81 35 10 10 3
133 45 97 11 14 9
134 37 70 0 6 6
135 15 32 2 6 5
136 21 70 0 7 4
137 28 46 5 14 14
138 31 70 5 13 3
139 35 36 7 11 2
140 71 57 6 8 2
141 49 8 7 11 7
142 79 99 8 8 5
143 30 90 0 5 0
144 98 19 8 10 5
145 98 50 6 10 8
146 86 41 0 7 6
147 41 13 0 8 6
148 43 28 3 13 0
149 40 69 7 7 5
150 11 74 6 13 0
151 38 88 3 14 6
152 46 2 4 14 9
153 74 73 6 9 1
154 57 63 9 10 3
155 5 99 8 9 2
156 62 88 9 11 8
157 4 60 6 6 5
158 87 76 4 13 10
159 74 28 4 6 2
160 10 28 9 14 9
161 78 37 7 9 4
162 14 49 3 12 7
163 62 35 7 13 7
164 48 34 0 7 5
165 85 64 1 14 11
166 60 57 0 11 7
167 66 27 4 14 6
168 47 54 5 7 4
169 67 35 9 9 2
170 24 91 4 10 1
171 22 7 4 5 3
172 66 14 6 11 11
173 84 60 13 14 3
174 48 62 5 10 1
175 57 68 14 14 3
176 40 48 9 13 10
177 10 91 1 8 1
178 86 46 5 6 0
179 86 35 1 7 4
180 76 51 7 10 6
181 32 67 2 11 0
182 31 68 3 5 4
183 24 27 2 5 2
184 54 70 10 13 0
185 91 10 0 8 3
186 67 64 6 6 2
187 22 95 1 5 3
188 52 65 1 6 3
189 93 92 9 13 0
190 6 54 4 9 2
191 84 7 13 14 7
192 96 90 5 5 0
193 10 63 5 8 6
194 21 56 10 11 11
195 73 43 2 5 4
196 84 40 2 10 3
197 60 48 7 10 10
198 15 90 5 8 5
199 32 23 6 7 7
200 47 73 6 7 4
warehouse 88 12
